timestamp,open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022/5/27,101,102,89.5,92.4,484645.555,484645.555
2022/5/26,102.1,107,92.3,101,509031.756,509031.756
2022/5/25,106.5,108,98.3,102.1,299646.223,299646.223
2022/5/24,99.4,108.2,93.1,106.6,333612.196,333612.196
2022/5/23,94.2,109.8,92,99.3,438387.153,438387.153
2022/5/22,91.2,96.9,90.5,94.1,185323.01,185323.01
2022/5/21,90.2,93.2,88.5,91.3,146556.219,146556.219
2022/5/20,91.9,98.2,84.5,90.2,344544.243,344544.243
2022/5/19,81.9,92,79.2,91.8,236645.474,236645.474
2022/5/18,92.7,97.3,81.3,81.9,283348.361,283348.361
2022/5/17,84,93.8,83.8,92.6,211199.18,211199.18
2022/5/16,92.1,92.1,80.8,83.9,232371.863,232371.863
2022/5/15,86.6,92.5,82.2,92.1,177630.536,177630.536
2022/5/14,82.5,87.4,77.6,86.7,177665.693,177665.693
2022/5/13,77.1,92.9,75.7,82.5,425935.387,425935.387
2022/5/12,82.6,89,64.8,77.1,762180.124,762180.124
2022/5/11,105.3,108.6,76.1,82.5,848405.0631,848405.0631
2022/5/10,99.4,118.4,96.6,105.2,610184.927,610184.927
2022/5/9,125.9,128.9,98.7,99.3,418075.014,418075.014
2022/5/8,132.2,133.4,125.1,125.9,144086.208,144086.208
2022/5/7,138.4,138.9,128.6,132.1,125400.396,125400.396
2022/5/6,141.4,142.8,132.8,138.4,166577.143,166577.143
2022/5/5,159.6,162.2,136.2,141.4,283592.25,283592.25
2022/5/4,141.2,160,140.8,159.5,196238.618,196238.618
2022/5/3,144.3,146.7,139,141.1,189742.652,189742.652
2022/5/2,146.5,149,138.9,144.2,142896.988,142896.988
2022/5/1,142.3,148.8,138.9,146.5,160643.049,160643.049
2022/4/30,157.3,162.8,137.8,142.3,221613.022,221613.022
2022/4/29,166.2,168.3,151.3,157.3,184509.486,184509.486
2022/4/28,168.5,176,163.9,166.1,253730.268,253730.268
2022/4/27,157.9,175.5,156.2,168.4,432886.813,432886.813
2022/4/26,168.8,179,154.5,158,304338.544,304338.544
2022/4/25,166.4,170.7,153.6,168.9,181848.017,181848.017
2022/4/24,173.4,174.9,165.5,166.4,93006.7,93006.7
2022/4/23,176.9,179.3,172.1,173.4,79491.235,79491.235
2022/4/22,173.8,180.6,171.1,176.9,162970.248,162970.248
2022/4/21,186.3,196.3,169.7,173.7,234031.115,234031.115
2022/4/20,183,198.8,178.6,186.2,299082.102,299082.102
2022/4/19,169.1,184.2,166.2,183,152809.884,152809.884
2022/4/18,166.7,170,157.4,169,173846.477,173846.477
2022/4/17,172.3,177.7,165.9,166.7,82209.939,82209.939
2022/4/16,176,176.3,169.8,172.4,50978.97,50978.97
2022/4/15,172.1,176.8,168.7,175.9,80485.608,80485.608
2022/4/14,178.3,180.3,166.4,171.9,147866.391,147866.391
2022/4/13,164.5,179.8,162.6,178.2,169380.47,169380.47
2022/4/12,157.9,171.4,157,164.6,182435.111,182435.111
2022/4/11,176.3,178.2,155.6,157.8,196721.827,196721.827
2022/4/10,184.9,188.9,175,176.3,145809.454,145809.454
2022/4/9,183.3,185.6,176.9,184.8,137126.064,137126.064
2022/4/8,202.2,202.2,181.1,183.4,271148.735,271148.735
2022/4/7,191.2,207.3,189.7,202.2,268122.771,268122.771
2022/4/6,221.1,221.1,190.4,191.3,364585.327,364585.327
2022/4/5,237.9,238.3,220,221,117604.076,117604.076
2022/4/4,243,243,224.7,237.9,174361.48,174361.48
2022/4/3,238.1,253,231.3,243,243458.017,243458.017
2022/4/2,244.5,257.4,235.2,238.1,316276.236,316276.236
2022/4/1,207,261.2,206.2,244.6,786879.074,786879.074
2022/3/31,223.3,227.8,204,207.1,352550.105,352550.105
2022/3/30,222.9,242.3,210.5,223.2,727337.359,727337.359
2022/3/29,167.7,227,167.1,222.7,869814.083,869814.083
2022/3/28,169.2,179,164.8,167.7,185956.82,185956.82
2022/3/27,163.4,169.4,158.6,169.2,104845.818,104845.818
2022/3/26,162.5,166.9,160.8,163.4,79044.566,79044.566
2022/3/25,168.1,174.4,159.5,162.4,227607.768,227607.768
2022/3/24,156,172.8,153.4,168.1,298012.107,298012.107
2022/3/23,152.9,157.3,149.7,156,110917.834,110917.834
2022/3/22,153.9,162,151.6,152.9,135898.693,135898.693
2022/3/21,152.7,162.7,146.8,153.9,197380.325,197380.325
2022/3/20,157.2,159.2,146.3,152.6,176293.529,176293.529
2022/3/19,160.2,165.6,154.8,157.2,180754.506,180754.506
2022/3/18,155.6,164.3,147.3,160.1,349565.048,349565.048
2022/3/17,141.7,156.9,136.8,155.6,366515.491,366515.491
2022/3/16,122,142.1,121,141.7,335373.481,335373.481
2022/3/15,118.3,123,113.9,122.1,70362.781,70362.781
2022/3/14,115.6,121.4,113.4,118.4,100571.561,100571.561
2022/3/13,120.4,120.8,115,115.7,87243.07,87243.07
2022/3/12,116.7,121.6,116.4,120.4,64492.585,64492.585
2022/3/11,119.2,121.1,114.6,116.6,82915.903,82915.903
2022/3/10,127.5,128.4,116.3,119.2,103241.591,103241.591
2022/3/9,121.7,130.5,121.3,127.6,101881.957,101881.957
2022/3/8,116.8,125.4,115.7,121.6,195420.302,195420.302
2022/3/7,116.7,124.1,113.3,116.8,189413.408,189413.408
2022/3/6,124.6,125.7,116.3,116.7,123221.746,123221.746
2022/3/5,124.3,126.5,121.9,124.6,90706.439,90706.439
2022/3/4,129.9,132,122,124.2,214193.248,214193.248
2022/3/3,137.7,137.8,126.3,130,204432.535,204432.535
2022/3/2,143.2,146.3,136.1,137.7,242506.592,242506.592
2022/3/1,145.8,150.9,139.5,143.3,236428.125,236428.125
2022/2/28,131.6,147.2,128,145.8,221466.156,221466.156
2022/2/27,136.7,144.7,129.4,131.6,248248.896,248248.896
2022/2/26,139.5,144.8,134.9,136.6,103099.328,103099.328
2022/2/25,125.4,143,121.8,139.5,214469.702,214469.702
2022/2/24,130.6,131.8,112.4,125.4,285671.8647,285671.8647
2022/2/23,134.7,143.1,130.1,130.6,94147.9,94147.9
2022/2/22,128.6,137,125.8,134.7,94375.613,94375.613
2022/2/21,137.5,144.7,127.8,128.6,128162.908,128162.908
2022/2/20,146.2,146.3,135.1,137.6,57594.733,57594.733
2022/2/19,145.5,148.8,140.8,146.2,44043.633,44043.633
2022/2/18,153.1,155.5,143.9,145.5,136887.68,136887.68
2022/2/17,170.4,174.1,150.4,153,112872.322,112872.322
2022/2/16,172.3,174.5,162.9,170.5,71443.659,71443.659
2022/2/15,161,172.9,160.5,172.2,64268.817,64268.817
2022/2/14,158.1,161.4,152.8,161,50377.874,50377.874
2022/2/13,162.5,165.4,155.8,158.1,39191.018,39191.018
2022/2/12,163.7,168.7,159.8,162.4,60007.5,60007.5
2022/2/11,175.3,181.2,160.2,163.6,83810.02,83810.02
2022/2/10,188,188.9,174.7,175.4,108341.641,108341.641
2022/2/9,184.1,190.7,176.3,188,89960.441,89960.441
2022/2/8,182.3,192.7,173.5,183.9,154091.746,154091.746
2022/2/7,173.6,184.2,169.8,182.1,119127.01,119127.01
2022/2/6,166.2,174.5,165.3,173.5,91113.374,91113.374
2022/2/5,166.8,173.5,164.1,166.2,100784.207,100784.207
2022/2/4,153,167.1,151.3,166.8,118649.129,118649.129
2022/2/3,151.2,153.8,145.3,153,76172.294,76172.294
2022/2/2,163.8,164.4,149.3,151.2,94165.141,94165.141
2022/2/1,157.5,168.3,157.3,163.7,111357.636,111357.636
2022/1/31,149,158.7,141.6,157.5,90536.943,90536.943
2022/1/30,154,155.4,145.9,148.9,61333.875,61333.875
2022/1/29,149,157,147.7,154,68369.124,68369.124
2022/1/28,144.6,150.7,139.3,149,129453.703,129453.703
2022/1/27,146.4,151.4,137.4,144.5,124221.864,124221.864
2022/1/26,151.8,164,142.6,146.5,197539.947,197539.947
2022/1/25,152.4,156.3,145.8,151.8,137214.358,137214.358
2022/1/24,158.5,158.6,131.1,152.5,250523.7116,250523.7116
2022/1/23,147.1,163.3,145.4,158.4,171630.426,171630.426
2022/1/22,170.9,175.4,135,146.9,279002.3329,279002.3329
2022/1/21,198.3,200.6,163.1,171,295579.022,295579.022
2022/1/20,210.4,221.4,197,198.4,104323.143,104323.143
2022/1/19,232.4,236.9,210,210.2,147663.612,147663.612
2022/1/18,226.6,240.5,222.7,232.4,219683.619,219683.619
2022/1/17,242.4,244.3,221.3,226.6,152666.481,152666.481
2022/1/16,238.4,245.5,230.3,242.5,121073.731,121073.731
2022/1/15,223.8,243.7,222.3,238.4,182510.09,182510.09
2022/1/14,209.4,227,204,223.9,145344.439,145344.439
2022/1/13,218.7,222.1,207.1,209.3,137541.45,137541.45
2022/1/12,213.2,222.6,210.5,218.5,104713.621,104713.621
2022/1/11,199.9,216.9,196.6,213.3,108697.979,108697.979
2022/1/10,209.5,213.7,186.7,199.9,206153.558,206153.558
2022/1/9,212.3,219.2,207.7,209.5,125345.269,125345.269
2022/1/8,211.8,231.1,200.5,212.3,244685.024,244685.024
2022/1/7,221,222.1,199.7,211.7,215595.281,215595.281
2022/1/6,230.1,233.1,214.3,221,222989.252,222989.252
2022/1/5,252,259.4,214.9,230.3,189611.084,189611.084
2022/1/4,267.2,269.5,249.8,252.1,173580.453,173580.453
2022/1/3,265.3,286.4,262.7,267.2,252013.495,252013.495
2022/1/2,266.3,269.1,253.1,265.3,122031.041,122031.041
2022/1/1,253.9,266.8,250.2,266.4,110355.452,110355.452
2021/12/31,262.7,275.6,249,253.9,220819.581,220819.581
2021/12/30,236.4,265.8,230.8,262.8,205841.289,205841.289
2021/12/29,252.6,259.5,234.8,236.3,256243.717,256243.717
2021/12/28,277.5,296.8,252.2,252.7,439629.194,439629.194
2021/12/27,268.1,293.3,265.6,277.5,229930.46,229930.46
2021/12/26,263.7,277.5,250.1,267.8,182402.863,182402.863
2021/12/25,270.3,280.8,257.4,263.7,211797.813,211797.813
2021/12/24,247,279.4,243.1,270.4,374399.927,374399.927
2021/12/23,206.6,248.4,203.8,246.9,448038.8,448038.8
2021/12/22,185.9,216.5,185.7,206.5,285902.037,285902.037
2021/12/21,181,186.7,178.8,185.9,92763.406,92763.406
2021/12/20,183.3,186.3,167.2,181,105734.132,105734.132
2021/12/19,193,193.3,182.1,183.3,92553.829,92553.829
2021/12/18,187.4,202,182.7,193.1,389522.75,389522.75
2021/12/17,174.1,188.7,162,187.3,144892.634,144892.634
2021/12/16,172.8,181,172.2,174.2,88461.739,88461.739
2021/12/15,169.3,175.7,158.9,172.9,128094.668,128094.668
2021/12/14,162.3,170.3,158.4,169.5,87941.227,87941.227
2021/12/13,179.7,180.8,157.6,162.3,92835.474,92835.474
2021/12/12,181.1,182.5,175.6,179.9,54676.035,54676.035
2021/12/11,166.8,181.1,162.7,181.1,79190.299,79190.299
2021/12/10,176.6,181.4,166.3,166.9,135380.546,135380.546
2021/12/9,203.4,203.9,176.5,176.7,136213.308,136213.308
2021/12/8,186.8,203.6,179.3,203.4,166148.659,166148.659
2021/12/7,184.5,197.3,180.6,186.9,163957.829,163957.829
2021/12/6,191.6,191.8,167.9,184.6,300726.603,300726.603
2021/12/5,202.8,206.2,186.6,191.6,110471.449,110471.449
2021/12/4,225.5,226.2,159.2,202.8,408188.7291,408188.7291
2021/12/3,244.6,246.1,217.6,225.6,99595.3433,99595.3433
2021/12/2,250.5,250.8,240.1,244.7,75737.596,75737.596
2021/12/1,256.8,268.8,249.1,250.7,112982.835,112982.835
2021/11/30,249.7,264.1,244.4,256.7,153718.106,153718.106
2021/11/29,238.6,251.2,233.1,249.7,80993.387,80993.387
2021/11/28,232.9,239.1,218.3,238.6,76326.885,76326.885
2021/11/27,232.8,243.4,229.9,232.9,66464.069,66464.069
2021/11/26,263.2,263.8,225.4,232.8,194860.0563,194860.0563
2021/11/25,254.2,264.1,252.2,263.1,123678.935,123678.935
2021/11/24,269.8,272.1,251.1,254.3,111013.8907,111013.8907
2021/11/23,263.6,277.6,261.3,269.8,181310.956,181310.956
2021/11/22,266.7,268.8,256.2,263.8,112151.339,112151.339
2021/11/21,274.1,274.3,264,266.4,96813.615,96813.615
2021/11/20,279.3,280.9,267.2,274.1,101858.044,101858.044
2021/11/19,262.7,280.6,257.8,279.1,102580.899,102580.899
2021/11/18,284.4,288.4,255.2,262.5,130065.39,130065.39
2021/11/17,278.1,287.9,267.5,284.5,130514.085,130514.085
2021/11/16,301.7,301.8,263.7,278.2,226930.156,226930.156
2021/11/15,315.3,317.3,299.1,301.7,119735.534,119735.534
2021/11/14,312.6,317.6,309.6,315.1,84935.864,84935.864
2021/11/13,308.5,314.5,302.8,312.6,79659.774,79659.774
2021/11/12,311.8,313.8,295.9,308.6,117436.986,117436.986
2021/11/11,312.4,319.2,307.1,311.9,97829.48,97829.48
2021/11/10,336.5,346.7,295.2,312.6,262918.804,262918.804
2021/11/9,332.2,349.9,326.3,336.5,260663.843,260663.843
2021/11/8,319.9,335.4,318.5,332,123587.065,123587.065
2021/11/7,318.3,323.8,316.2,319.9,65511.145,65511.145
2021/11/6,326.4,327.3,307.1,318.2,114167.603,114167.603
2021/11/5,332.8,347,323.9,326.4,171235.494,171235.494
2021/11/4,325.2,335.7,313,332.8,160758.022,160758.022
2021/11/3,324.9,326.3,311.1,325.2,150808.626,150808.626
2021/11/2,324.2,328.2,317.5,324.8,84076.803,84076.803
2021/11/1,314.3,324.4,301.9,324.1,125073.516,125073.516
2021/10/31,318.9,323,300.3,314.2,113464.753,113464.753
2021/10/30,328.1,328.6,312.4,319,138900.956,138900.956
2021/10/29,339.1,347.9,324.7,328.1,197835.869,197835.869
2021/10/28,324.6,349.7,317.1,339.1,349511.778,349511.778
2021/10/27,329.2,459,322.8,324.4,1345047.828,1345047.828
2021/10/26,312.8,345.5,312.2,328.8,200765.335,200765.335
2021/10/25,307.7,316.9,306.4,312.8,65895.452,65895.452
2021/10/24,324.1,325.3,299.8,307.8,74284.834,74284.834
2021/10/23,310.2,324.3,307.3,324,53868.191,53868.191
2021/10/22,314.8,326.9,305.8,310.2,80197.249,80197.249
2021/10/21,316.6,338,310.4,315,144828.406,144828.406
2021/10/20,303.6,317.6,296.4,316.6,84115.777,84115.777
2021/10/19,294.1,304.3,292.6,303.4,65804.57,65804.57
2021/10/18,304.5,308.3,289.7,294.2,65271.96,65271.96
2021/10/17,304.9,321.2,291.6,304.4,95845.841,95845.841
2021/10/16,301.5,319.9,299.5,304.7,92924.881,92924.881
2021/10/15,303.6,305.1,292.1,301.5,89407.892,89407.892
2021/10/14,297.4,320,293.2,303.7,124887.086,124887.086
2021/10/13,284,302.8,282,297.4,126532.221,126532.221
2021/10/12,290.5,290.6,270.8,284,94921.819,94921.819
2021/10/11,287.8,302,283,290.6,62940.683,62940.683
2021/10/10,307.4,307.9,286.7,287.9,55289.417,55289.417
2021/10/9,307.6,313.2,304,307.1,46230.589,46230.589
