timestamp,open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022/6/28,65.6,69.3,59.5,60.1,252775.947,252775.947
2022/6/27,65.5,68.2,62.7,65.5,206479.496,206479.496
2022/6/26,69.9,73.2,65.1,65.5,230174.219,230174.219
2022/6/25,71.1,75.8,66.6,70,328636.956,328636.956
2022/6/24,68,73,65.4,71,415191.434,415191.434
2022/6/23,62,69.9,61.8,68,380671.72,380671.72
2022/6/22,66.4,67.8,61.4,61.9,432493.434,432493.434
2022/6/21,61.6,77.9,59.9,66.4,659342.543,659342.543
2022/6/20,54.1,63.3,50.4,61.6,546763.429,546763.429
2022/6/19,49.7,55.4,46,54.1,304717.867,304717.867
2022/6/18,57.5,58.7,45.6,49.6,344720.555,344720.555
2022/6/17,56.6,59.8,55.6,57.4,133940.667,133940.667
2022/6/16,66.6,69.8,55.2,56.6,276230.021,276230.021
2022/6/15,62.2,67.2,52.7,66.6,479832.669,479832.669
2022/6/14,59.9,64.3,53.4,62.1,436453.9601,436453.9601
2022/6/13,70.3,71.1,55.2,59.9,627172.106,627172.106
2022/6/12,77.3,77.7,69.2,70.3,249385.869,249385.869
2022/6/11,88.1,89.2,75.6,77.2,185116.058,185116.058
2022/6/10,95.8,96.9,85.4,88.2,155536.826,155536.826
2022/6/9,96.5,99.7,94.4,95.9,67220.052,67220.052
2022/6/8,99.2,101.8,95.4,96.5,97294.425,97294.425
2022/6/7,106,106.3,95.8,99.3,186716.715,186716.715
2022/6/6,103.7,111.9,103.5,106,189493.954,189493.954
2022/6/5,106.9,107.5,103.2,103.7,89511.473,89511.473
2022/6/4,106.9,108,102.6,106.9,98421.318,98421.318
2022/6/3,111,113.4,103.7,106.9,160603.638,160603.638
2022/6/2,106.4,112.1,103.1,110.9,203685.039,203685.039
2022/6/1,112.9,121,100.7,106.3,395430.014,395430.014
2022/5/31,117.3,124.1,112.2,112.9,423146.079,423146.079
2022/5/30,95.5,123.1,94.4,117.4,439967.89,439967.89
2022/5/29,95.5,97.3,91.7,95.5,132405.924,132405.924
2022/5/28,92.5,97,90.7,95.5,197711.162,197711.162
